0	1	1	0	0	0	0	0	0.206251	0.517901	0	1	1	0	0	0	0	0	0.206251	0.517901	
0	0	1	0	0	0	0	0	0	-0.421453	0	0	1	0	0	0	0	0	0	-0.421453	
0	0	0	0	0	0	0	0	0	-0.326794	0	0	0	0	0	0	0	0	0	-0.326794	
-1.11471	0	0.579404	0	0	0	0	0	0	0	-1.11471	0	0.579404	0	0	0	0	0	0	0	
0.567756	0	0	-0.314604	0	0	0	0	0.429691	0	0.567756	0	0	-0.314604	0	0	0	0	0.429691	0	
-1.96281	0	0.264002	0	0	0	0	0	0	0	-1.96281	0	0.264002	0	0	0	0	0	0	0	
-0.49861	0	0	0	-1.80528	0	0	0	0	0	-0.49861	0	0	0	-1.80528	0	0	0	0	0	
1.49406	0	0	0.547624	0	0	0	0	0	0	1.49406	0	0	0.547624	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	0	0	0	0	0	0.206251	0.517901	0	1	1	0	0	0	0	0	0.206251	0.517901	
0	0	1	0	0	0	0	0	0	-0.421453	0	0	1	0	0	0	0	0	0	-0.421453	
0	0	0	0	0	0	0	0	0	-0.326794	0	0	0	0	0	0	0	0	0	-0.326794	
-1.11471	0	0.579404	0	0	0	0	0	0	0	-1.11471	0	0.579404	0	0	0	0	0	0	0	
0.567756	0	0	-0.314604	0	0	0	0	0.429691	0	0.567756	0	0	-0.314604	0	0	0	0	0.429691	0	
-1.96281	0	0.264002	0	0	0	0	0	0	0	-1.96281	0	0.264002	0	0	0	0	0	0	0	
-0.49861	0	0	0	-1.80528	0	0	0	0	0	-0.49861	0	0	0	-1.80528	0	0	0	0	0	
1.49406	0	0	0.547624	0	0	0	0	0	0	1.49406	0	0	0.547624	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
